# CH505TF SAXS T-Jumps Second Right Vectors
Double Exponential Decay Fit | Calculated with tr_tjump_saxs_analysis Python package | 25 February 2024time,double_exp_decay_model
3.463113113113113286e+02,4.319826819663130646e-01
3.473093093093092989e+02,4.322075468180291979e-01
3.483073073073073260e+02,4.324320486014885390e-01
3.493053053053052963e+02,4.326561879029034441e-01
3.503033033033033234e+02,4.328799653075399156e-01
3.513013013013012937e+02,4.331033813997187121e-01
3.522992992992993209e+02,4.333264367628172908e-01
3.532972972972972912e+02,4.335491319792712517e-01
3.542952952952953183e+02,4.337714676305756134e-01
3.552932932932932886e+02,4.339934442972867568e-01
3.562912912912913157e+02,4.342150625590234791e-01
3.572892892892892860e+02,4.344363229944687710e-01
3.582872872872873131e+02,4.346572261813712590e-01
3.592852852852852834e+02,4.348777726965468160e-01
3.602832832832833105e+02,4.350979631158800043e-01
3.612812812812812808e+02,4.353177980143254078e-01
3.622792792792793080e+02,4.355372779659094085e-01
3.632772772772772782e+02,4.357564035437314631e-01
3.642752752752753054e+02,4.359751753199658797e-01
3.652732732732732757e+02,4.361935938658629275e-01
3.662712712712713028e+02,4.364116597517506690e-01
3.672692692692692731e+02,4.366293735470361259e-01
3.682672672672673002e+02,4.368467358202072215e-01
3.692652652652652705e+02,4.370637471388337802e-01
3.702632632632632976e+02,4.372804080695693596e-01
3.712612612612612679e+02,4.374967191781524711e-01
3.722592592592592950e+02,4.377126810294083015e-01
3.732572572572572653e+02,4.379282941872499890e-01
3.742552552552552925e+02,4.381435592146801228e-01
3.752532532532532628e+02,4.383584766737924632e-01
3.762512512512512899e+02,4.385730471257729968e-01
3.772492492492492602e+02,4.387872711309017681e-01
3.782472472472472873e+02,4.390011492485540456e-01
3.792452452452452576e+02,4.392146820372020422e-01
3.802432432432432847e+02,4.394278700544162475e-01
3.812412412412412550e+02,4.396407138568668160e-01
3.822392392392392821e+02,4.398532140003251767e-01
3.832372372372372524e+02,4.400653710396654761e-01
3.842352352352352796e+02,4.402771855288656888e-01
3.852332332332332498e+02,4.404886580210095604e-01
3.862312312312312770e+02,4.406997890682878838e-01
3.872292292292292473e+02,4.409105792219996101e-01
3.882272272272272176e+02,4.411210290325537908e-01
3.892252252252252447e+02,4.413311390494707442e-01
3.902232232232232150e+02,4.415409098213833872e-01
3.912212212212212421e+02,4.417503418960391226e-01
3.922192192192192124e+02,4.419594358203005058e-01
3.932172172172172395e+02,4.421681921401474646e-01
3.942152152152152098e+02,4.423766114006783545e-01
3.952132132132132369e+02,4.425846941461112349e-01
3.962112112112112072e+02,4.427924409197857014e-01
3.972092092092092344e+02,4.429998522641638292e-01
3.982072072072072046e+02,4.432069287208320052e-01
3.992052052052052318e+02,4.434136708305021490e-01
4.002032032032032021e+02,4.436200791330130455e-01
4.012012012012012292e+02,4.438261541673319543e-01
4.021991991991991995e+02,4.440318964715558314e-01
4.031971971971972266e+02,4.442373065829128276e-01
4.041951951951951969e+02,4.444423850377637875e-01
4.051931931931932240e+02,4.446471323716034707e-01
4.061911911911911943e+02,4.448515491190619953e-01
4.071891891891892215e+02,4.450556358139062807e-01
4.081871871871871917e+02,4.452593929890414914e-01
4.091851851851852189e+02,4.454628211765121470e-01
4.101831831831831892e+02,4.456659209075040651e-01
4.111811811811812163e+02,4.458686927123451382e-01
4.121791791791791866e+02,4.460711371205070552e-01
4.131771771771772137e+02,4.462732546606065775e-01
4.141751751751751840e+02,4.464750458604071492e-01
4.151731731731732111e+02,4.466765112468198407e-01
4.161711711711711814e+02,4.468776513459051247e-01
4.171691691691692085e+02,4.470784666828739873e-01
4.181671671671671788e+02,4.472789577820894813e-01
4.191651651651652060e+02,4.474791251670681147e-01
4.201631631631631763e+02,4.476789693604807940e-01
4.211611611611612034e+02,4.478784908841549339e-01
4.221591591591591737e+02,4.480776902590750121e-01
4.231571571571572008e+02,4.482765680053846791e-01
4.241551551551551711e+02,4.484751246423874793e-01
4.251531531531531982e+02,4.486733606885486281e-01
4.261511511511511685e+02,4.488712766614961769e-01
4.271491491491491956e+02,4.490688730780225124e-01
4.281471471471471659e+02,4.492661504540853556e-01
